Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,,,,31.3,24.8,40.3,42.7,26,15.6,78.6,30.4,22.4
1981,58.8,,13.5,63.4,124.4,48.6,67.8,81.1,18.8,19.8,1.4,2
1982,0,4.5,4.5,46.6,46.7,,,,,,,
1983,,,,,66.5,,,,,,0,0
1984,129,12,0,11.4,28.9,43,45.4,90.8,72,0,0,25
1985,15,14.5,1,60.5,30,155,62,18,0,0,0,19.8
1986,0,0,0,69,8,23,31,16,12,90.3,26,
1987,,,0,50.5,105,,64,63,43.5,0,10,15
1988,15,20,77.4,63,92.5,96,68,36,28.5,47,7,0
1989,2,0,0,12,0,13,,29.5,4,1,28,21
1990,0,50,14,49,119.1,1,0,,92,58,0,0
1991,0,21,0,0,50.5,81,73,36,90,32,0,59
1992,142,15,30,13,111,63,21,9,,37,8,7
1993,37,0,0,44,65,296,99,91,52,3,3,4
1994,13.9,0,,0,70.9,28.5,32,21,4,62,0,7
1996,,,,,,,,,76.8,0,,0
1997,0,0,13,14,21,0,0,20,38,3,0,0
1998,0,0,0,9,0,34,43,18,63,10,0,
1999,0,0,7,0,20.5,61,34,9,33,12,0,0
2000,0,0,6,11,26,51,10,42.5,8,28,0,4
2001,0,0,7,33,22,19,23,110,60,30,0,0
2002,0,47,0,4,22,29,34,20,68,72,25,8
2003,35,23,0,0,18,130,64,82,75,89,0,0
2004,0,20,0,0,70,121,48,52,109,0,0,0
2005,0,57,20,15,0,0,80,62,0,0,0,0
2006,0,0,0,45,31,35,0,0,0,0,25,30
2007,18,30,0,0,106,66.3,125,65,68,0,0,0
2008,0,0,0,0,222,0,112,230,50,0,0,0
2009,0,0,0,0,46,60,0,0,80,0,0,0
2010,0,0,0,0,128,104,143,0,0,,0,0
2011,0,0,0,0,36,39,26,0,30,0,6,0
2012,10,88,42,0,28,0,47,15,0,0,8,0
2013,74,0,0,10,89,53,32,16,42,67,33,165
2014,82,14,24,30,153,72,104,39,111,15,65.8,19
2015,43,13.5,185,42.5,85.4,85,43.5,66.5,30.5,132.7,0,13.5
2016,37.5,0,36,10.5,88.8,38,0,23.8,5,3.5,48.6,1
2017,2.5,4.5,44.8,46,0,66.5,73.5,47.5,9,24.5,0,2
2018,42.5,36.5,0,116,11,0,20,91,253,18,,0
