Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,7.3,1.9,18,6.1,22.2,40.7,33.7,85.1,110.6,45.2,1,0
1949,1.7,11.8,2.1,24.3,9.2,56.6,12.3,16,119.2,78.4,0,20
1950,0.3,5.4,31.5,0.5,7,4.7,30.8,9.3,12.1,3.1,,0
1951,0,0,24.1,3.5,47,80.7,1,49.4,132.2,42.6,4,3.5
1952,0,0.5,3.7,18.3,10.9,40.5,0,0,66.3,0,3,0
1953,0,0,16,0,0.5,0,31.2,53.2,6.4,88.7,2,11.6
1954,0.8,4,0,18,4.2,0,9,19.2,10.5,72.1,9,0
1955,4,10,0,1,11.7,10,55.5,68.2,120.1,27.7,55,0
1956,0,2,0,12,47.5,0.7,0,29.2,16,0,9.9,8.4
1957,1,24,2,20.2,19.8,13.6,0,21.6,86.2,13,5.6,3.8
1958,11.2,11.3,1,15.6,14,33.6,50.1,103,257.3,217.8,26,12
1959,1.2,58,4,25,18,58,65.3,62.3,92.9,41.8,13.7,0
1960,1,21.5,1.2,14.4,7,17.9,7,61.5,83.9,9.8,9.7,4
1961,5.2,0,4,15.4,1,14.5,19.4,31.1,83.3,8.2,3,0
1962,0,2,2,3.4,1.1,108.8,0,44.6,133,8.2,4.2,18.1
1963,0,2.5,0,12.3,70.3,36.5,22.5,12,113.4,27,9.5,25.5
1964,17.5,0,7.2,16.8,33.3,6.3,28.5,3,181.5,18,32,16
1965,10,20,5,75,,35,10,14,125,34,42,41
1966,39,22,14,24,96,113,2,75,38,77,13,7
1967,16,13,44,5.5,1.5,17.5,27.5,427.5,341,54.5,1.5,0
1968,3,13,8.7,32,16,41.5,53.5,83,138,94,28,0
1969,0,10,0,0,80,31,7,104,101,6,,
1970,,,,16.5,62.5,58.1,33.5,20.4,101.5,5.8,0,0
1971,8.1,0,0.5,0,73.8,58.6,25.5,134.3,132,44.5,6.5,7
1972,5,3,1,0,29.5,65.5,40.5,21,40.2,70,11.5,2
1973,21.5,24,0,9,8.5,264,0,53,,35,0,0
1974,7,0,19,3.5,50.5,21,13.5,8,301,0,0,
1975,,,,,,,,41.5,117.4,16.5,0,18.4
1976,5.3,0,17.6,27.9,33.2,29.7,191.2,30.9,72.6,54.2,147.7,26.4
1977,27.1,17.3,5.4,14.4,17.9,22.2,2,56.1,113.1,54.6,0.5,0
1978,24.7,14.5,9,10,11.7,23.1,9.1,82.5,271.3,60.1,11,7.2
1979,4,1,4.9,1.4,37.8,90.2,2.8,22.5,125.6,5,,42
1980,0,9,0,0,54,11,69.7,42,,,,0
1981,70,14.2,32,49.1,69.3,48.2,23.7,65.5,143.4,16.5,2.2,0
1982,0,7.5,12.8,42,46.4,3.7,12.4,12.4,35.7,67.3,19.2,22.7
1983,23.7,25.1,13.8,0,121.9,15.3,,,161.2,45.1,0,0
1984,84.1,0,0,,58.5,5.4,64.2,,,,,
1985,25.9,22.3,5.3,69,47.5,111,0,31.9,17.4,29.9,0,0
1986,0,2,0,28.7,80,29.2,1.3,37,160.2,36.8,57.7,94
1987,29.4,20.6,13,33.2,44,57,0,,147.9,11.7,4.1,0
1988,29.2,8.4,1.5,22.3,39.4,61.5,50.7,118.8,,,,
1989,,11.2,5,33.8,0,24.5,0,113,169,2.3,5,34
1990,0,9.2,11.2,38,12,0,30,29,35.5,55.2,1.3,0.5
1991,3,13.1,1.7,27.1,44.3,36.2,48.8,6.5,123.7,2.3,8.2,38.6
1992,70.14,20.3,5.3,24.7,32.1,24.3,0,33.1,61.8,10.6,14.2,15.6
1993,3.3,12.5,14.1,0,42.6,78,0,3.6,218.7,75.8,7.8,0.8
1997,10.6,11,,,,11.7,1.3,4.5,101,109.7,25.5,2.8
1998,0,5,14.4,1.2,0,23.5,8,103,145.2,37.4,15.4,0
1999,0,0,8.8,11.2,0,25.1,82.3,82,90.5,21.2,0,8.5
2000,0,7.5,6.5,10.2,9.7,36.5,0,21,58.7,100.4,,16.1
2001,6.8,13.8,13.7,15.9,3,83.6,15,25.9,279.6,32.3,18.4,2.8
2002,0,5.8,1.3,0.5,5,74.3,117,8.4,205.5,77.1,13.4,0.3
2003,41.3,33.2,6.7,1.8,22.2,16.9,5.5,136.6,227.9,90,11.1,6.8
2004,8.6,10.1,59.4,20.5,5.3,43.5,2.4,26.9,130.9,25.6,13.6,0.5
2005,13.2,42.5,9.3,,,,,,,,,
