Year,January,February,March,April,May,June,July,August,September,October,November,December
1997,,,,,,,20.5,147.5,148.5,126,4,9
1998,0,7.5,9,,,,92,164,259.5,96,2,0
1999,0,0,49,9,4.5,66,172.5,40,93,90.5,2.5,6.5
2000,9.5,4,6.5,20,35,166.5,11.5,85,86.5,180,9.5,4
2001,8,4,27,45,31,67,72,64,250.5,54.5,23,1
2002,5,28,3,63.5,24,105,145,60,350,119,12,7
2003,37.2,12,63,8,18,55,58,313,222,112,1,8
2004,8.3,20.6,94,40,36,139,86.5,299,137.5,32,4.5,6.5
2005,5.7,60,50,26,64.5,13,350.4,103,132,143.5,21.2,16.1
2006,7.3,3.5,5.5,7.1,39.9,51.5,81,85.9,123.8,68.1,14.3,
2008,11.1,2.1,16.2,33.2,97.8,82.8,147.6,248,383.1,98.8,18.3,4
2009,2.8,2.7,7.5,4.5,46.3,120.8,18.6,65.2,164.5,47.4,83.9,
2010,22.4,26.5,3.2,83.7,62.5,30.9,809.1,43.1,245.7,36.8,0.9,1.1
2011,16,0.3,7.3,1.5,1.6,337,89.5,29.5,46.3,14.5,13.3,9.6
2012,5.1,,7.3,32.9,26.9,69.4,77.9,46.5,30.3,34.3,23.5,0.3
2013,48.8,,0,27.6,92.2,66.3,285.8,278.2,606.2,22.9,21.4,171.8
2014,48.9,6.4,,7,32.4,49.8,62.1,55.1,582.3,51.01,91.5,14.7
2015,43.9,39,165.6,56.6,92.7,125,1.8,61.2,90.3,,14.6,
2016,33.2,0.5,54,65,73,83,46,198,110,153.2,63.2,18
2017,2,14,96,40,26,40,152,79,180,164.6,3,17
2018,41,20,0,117,24,96.5,52,24.6,410,51,22,6
