Year,January,February,March,April,May,June,July,August,September,October,November,December
1985,38.6,14.6,5.1,123.9,16.7,,55,5.5,122.8,63.5,3.2,0
1986,6.3,3.7,2.8,21.7,34.9,77.9,6.2,34.9,114,89.4,27.9,62.4
1987,21.6,41.4,35,69.5,82.1,27.5,73.8,56.8,48.8,79.5,9.3,0
1988,17.4,31.1,5.7,5.5,10,52,194.8,109.5,341.2,24.3,0,6.1
1989,11.7,331.5,1,8.6,1.8,6.5,47.2,21.8,32.5,5.1,15.9,
1990,34.8,25.8,31.2,29.3,7.5,,44.2,37.7,128.1,39,7.2,0
1991,16.5,12.9,10.4,13.7,52.8,71.8,8.2,13.5,123,2.7,39.4,38.6
1992,76.4,19.5,3.2,36.5,38.5,24.4,21.4,19.3,63.8,22.7,43.6,35
1993,13.5,35.8,9.7,33.1,21,145.6,40.2,18,190.9,1.3,20.3,4.5
1994,80,1.5,43.3,16.7,9,23.5,41.2,22.5,58.5,44,37.8,17.1
1995,14.2,28.3,12.4,5.7,32,78.5,23.5,91.1,33,15.2,25.2,20.2
1996,0,1,0,20.5,45,30.7,18,221.1,34.8,77.3,16.8,1.7
1997,6.6,22.9,41.1,78.3,84.5,48.1,9.5,4.9,87.3,77.5,20.5,5.4
1998,1,18,44.5,0,0,25.9,21.8,180,101.2,54.9,36.1,
1999,0,0,10.2,9,21.7,120.7,40,13,82.8,15,4,
2000,0,25.5,0,15.8,57,57.7,3,25.1,149.3,140.5,29,
2001,37,26,31.5,15,14.5,51,17.5,26.5,90,13,,
2002,0,0,0,1,74.5,24,149,48,201,102,21,3
2003,11.8,49,4,1,56,49,32.4,47,303,99,18,30
2004,7,3,94,47,5,123.5,46,35,154,2,32,1
2005,19,73,17.5,0,109,0,51.5,27,0,94,27,5
2006,6,0,,,38.5,30.5,44,37,76.5,43,20.5,103.5
2008,59,3,1,13,55.3,17.53,165,154.5,117.4,52,0,3
2009,28.5,7,11,1,114,23,1,0,48,33,37,18.5
2010,20.5,31,5,80,60,176.5,428.7,17.5,318.5,0,0,0
2011,22.5,0,4,0,15,73,86.5,5,13.5,9,3,54
2012,0,29.5,1.5,13.15,49,44,48,49,44,6,13,1
2013,36.5,1,7.5,25,43,18.5,94,8.05,136,44.05,69,50
2014,3.5,15.5,27,16,31,18,68,72.5,258,24.5,68,53
2015,40.5,52.5,62,92.6,97,57,0,9,33,28,18.5,0
2016,42,0,50,63,74.5,26,8,194.7,125,9,53,44.5
2017,31.5,11,63,44.5,56,24.5,14.5,81,318.3,102.7,10,50.5
2018,4,1,0,65.5,81,67,48,0,210,84.5,12.5,35
