Year,January,February,March,April,May,June,July,August,September,October,November,December
1980,14,6,0.2,2,151.5,1,12.5,87.2,97.2,76.1,40.7,
1981,84.5,27.3,22.6,130.9,172.9,143.6,79.5,143.2,68.7,9.9,12.2,0.5
1982,0,8.9,17.5,93.3,37,36,22.8,10.5,74.7,56.8,14.2,62.2
1983,42.3,29,21.3,0,199.3,4.1,93.9,192,95,65.6,13.5,17.7
1984,166.1,11.7,,,46.7,48,75.6,,,,,
1985,47.5,11,31.7,135.7,49.1,87.9,4.5,79.7,37.4,89.6,34.4,10.5
1986,2,14.2,5.5,71.5,235.4,166.1,7.1,2.9,205.8,57.2,39.6,78.2
1987,31.2,37,33.9,27.7,67.1,115.5,44.5,153,128,15.5,8,
1988,,20.5,13,33.5,50.7,250.5,40,177.9,227.7,10.9,0.5,
1989,36,20.4,0.5,18.3,15,,101.2,45,50,6,6.5,
1990,4,14.3,32.7,29.6,36.9,,85.5,56,80.5,66,5.5,
1991,,23,8.3,19.4,37.3,107.8,44,17,100.1,121.3,8.7,
1992,119.5,24,5.5,109.2,80.5,4,2.5,31,63,87,35.5,
1993,21.8,34.7,15,49.5,71.5,204,18,3.5,210,20,24.5,
1994,96,11,15.5,23,58.5,70.5,19.5,43,56.5,18,7,
1995,14.5,12.7,8.6,11.4,188.8,66.8,60.5,291.5,39.5,40.9,18,20
1996,8.4,1,10.5,5.2,3.8,20.5,12.8,149.3,81,57.7,12.5,
1997,15.1,23.2,119.7,123.8,92.9,4.2,23.9,16.2,80.4,100.7,30.1,
1998,6,15.9,35.4,0,0,108,19.3,117.5,112.2,64.3,60.6,8
1999,0,0.1,47,2.3,44.6,98.2,158.5,107.7,100.3,37.1,1.5,17.1
2000,2.8,0,2.8,8,127.6,29.8,12.2,40.9,100.1,278.2,18.9,
2001,19.9,21.7,46.7,30.9,116.6,43,6.9,142.2,264,13.8,32.2,
2002,1.5,5.3,0.7,15,15.9,145.1,192.3,48.1,425.9,183.8,29.6,
2003,28.3,19.7,5.6,25.6,108.7,266.9,25.8,88.5,280.4,217.5,6.7,
2004,12,8.8,103,407.8,5.7,24.4,32.6,64.7,321,66.7,10.2,
2005,14.7,78.3,53.1,0.2,52.3,0,263.5,38.4,65.3,447.7,11,
2006,0,7.3,16.4,42,43.5,6.5,105.8,29.8,296.2,44.2,27.5,
2008,30,11.9,5.4,34.2,36.9,10.8,142.4,120.4,369.8,39.2,4.4,
2009,21.7,12,13.4,0.3,45,28.2,20,98.2,366.3,118.1,63.9,
2010,34.3,38.5,11.2,183.6,77.7,279.2,394.9,18.6,386,1,0,0
2011,29.3,0,25.6,0,4,110.1,92.7,14.9,22.8,,,
