Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,0,14.9,23.1,15.5,44.2,57,108.3,109,186.8,70.4,0,0
1949,44.2,157.7,,67.5,10.4,49,0,0,117.4,6.6,30,59.6
1950,15.5,15.7,46.5,66,4,22.8,76,28.5,77,,1.2,0
1951,0.4,0,52.6,0,110.7,61.7,22.4,91.7,191.3,,,6.4
1952,13,8.2,28.6,16.4,0,30.3,31.8,0,60,0,21.7,0
1953,0,4.3,27,0,0,0,4,253,30,94,0,9
1954,15.5,14.5,0,14.5,17.5,0,11,14.2,0,46,18,0
1955,13,19.5,0.5,0,6.5,0,93,83,143,78,0,0
1956,0,8,0,10,37,0,0,19,66,0,21,0
1957,0,,0.4,27,22,22,0,17,21,76,10.5,0
1958,11,0,6,0.4,1.6,84.1,8.4,0,195.5,373.1,30,0
1959,0,40,0,0,0.6,21.7,0,9,0,23,11,0
1960,0,4,5,20,0,10.6,25.4,84,95,38,17.8,25
1961,10,0,6,0.5,0,174,10,38,106,80,15,0
1962,0,0,13,0,24,91,0,40,151,67,14.5,9.1
1963,0,12.3,3.4,70,53.5,19,36,19,64,0,0.5,3.4
1964,,11,18.6,50,33.5,0,0,0,115,0,0,6
1965,4,10,6,17,23,7,18,28.4,66,8,0,25.3
1966,28,8,13,32,137.5,126.5,0,112,12.5,70.5,0,0
1967,5,8,0,42,90,28,76,450.5,,122,47,1
1968,20,8.9,13,77,53,43,78,62.9,103,101,7,0
1969,20,7.5,0,10,27,,,,,,,
1970,,,,,,,,,143.2,44.5,0,2
1971,5,,0,0,31,48,40.5,38.5,228.1,49.6,7,7.5
1972,7.5,6.5,8.5,10.5,107,189,69.5,11,148,86.5,13.5,1
1973,20.5,38,0,11.5,14.5,359.5,35,151.5,106.5,123,15.3,22.5
1974,10.5,0,23.5,3,29.5,75.5,0,0,212.5,73,,
1975,15.5,,,21,87.5,3,154.5,157,77.5,24.5,1.5,24.3
1976,2.5,2.5,18.5,52,30,35.3,152,62,140.5,36,122,15
1977,26,25,8,26,59.5,12,2,108.5,115,137,0,4
1978,12.5,10.5,2.5,17,26,47.5,13.5,233.9,253.9,118.7,15.3,4
1979,2,0,8,22,17,112.5,29.5,44.5,148,0,25.5,61.2
1980,2,7,0,4.5,75,14.5,12,193.5,84.5,113.3,39,10.5
1981,82,34,25,158.5,95,52.5,47.5,63.1,129.5,28.4,3,0
1982,0,8.5,,85.5,66.5,0,24,9.5,101.2,79.3,24.5,50.6
1983,28.5,39,16.5,0,169,15,138.5,22.2,282.5,64.5,0,4.5
1984,101.5,0,,,,30,52.4,,,,,
1985,34,21.5,100.1,107.5,55.5,96.5,23,44.4,14,66,5,4.5
1986,0,2.5,0,56.7,88.9,31.3,0,0,333.6,101.1,33.8,88
1987,24.7,23.6,23,54.8,44,58.4,55.5,58.3,138.8,32.5,12.5,1.9
1988,30.1,22.5,6.5,23.2,72.4,102.9,34,172.7,310,15.7,0,0
1989,19,22.7,3,37.7,8,16.1,103.5,54.5,93.5,2,8.5,35.5
1990,5.5,7.6,47.5,33,34.6,18.5,33.3,59,177,94,11.4,0
1991,11.9,5.3,6.5,28,57.8,81,18.8,14,147,10.2,26,59.5
1992,78.5,18.5,,33,126.5,1.5,4.8,53,43.6,32.5,23.4,34.6
1993,16,20.5,16.8,9.3,113,265.4,0,14.3,241.5,15.5,12.6,2
1994,58.8,6.4,51.7,,72,31.2,11.5,41.2,275.2,39.1,25,44.6
1995,7.2,5,7.7,3.5,60.8,,,,,,34,21
1996,6,0,6,11,4,38.5,1.5,353,9,112.5,8,0
1997,10,34.5,33,62,102,63.5,11.5,0,,,,
2001,,,,,,,37.9,80.3,151.8,20.8,23,0.8
2002,0,0.1,0.2,0.4,0.5,24.5,91.5,0,189,116.2,13.2,0
2003,80.8,23,9.3,0,70.5,0.8,12.5,74.4,300.8,82.6,2.7,7
2004,13.7,12.5,26.8,59.2,0.8,16.7,19,55,105.5,30.7,,1
2005,15,60.5,15.5,0,67.5,1,77.5,4,7.5,79,30,4.2
