Year,January,February,March,April,May,June,July,August,September,October,November,December
1979,7.3,1,17.5,21.5,0,67.5,43,91.2,41,0,3,68.5
1980,3,23.5,1,0,68.5,4,30,120.5,118.5,39.5,29,16
1981,57,28,43,129.5,128.4,80,42,105,92.2,33.5,6.5,4
1982,0,13,10,83,126,,31.5,0,187,30.5,14,43.5
1983,,,,,162.5,42,,,106,39,0,5.5
1984,150,5,,,,,82,,,,,
1985,40,19,15,197.3,82,190,8,190,44,140,25,15
1986,0,,0,109,164,408,0,29,170,446,33,102
1987,18,,35,5,,0,,50.5,45,17,15,30
1988,29,,,,,,,,,,,
1989,66,,,,5.7,12.1,130.7,62.2,30.7,16,10.9,41.6
1990,1.5,22.4,32.8,47.5,14.6,0,87,116,184.5,3,12,0
1991,51.2,23.5,1.7,5.5,18.7,183.8,139.5,16.2,132.2,3.4,8.3,61.2
1992,109.2,16.6,6.7,93.1,87.8,28,16,34.2,36.9,23,40.1,
