Year,January,February,March,April,May,June,July,August,September,October,November,December
1961,29,4,8.5,55,49,400,460,47,59.5,107.5,25.5,5.5
1962,3.5,1,12.5,33,8,87.5,0,17,109,0,12.5,19.5
1963,2,21,2.5,2,30,72,0,8,79,4,23.5,25.5
1964,7.5,1.5,5,40,43.5,0,,7,34.5,0,32,1.5
1965,5,17,12.5,14,129,20,0,50,66.5,31.5,23,46
1966,25,17,15.5,42,128.5,108.5,0,0,108.5,15.5,0,0
1967,12,18,9,4,2,30,0,172.04,404.5,5.5,30,11.5
1968,21.5,14,8.5,17,19.5,25,102,47,0,98.5,6.5,1
1969,2.5,14.5,53,20,65,43,0,24,64.5,,15.5,7
1970,16.5,0,3,3,6,15.5,61.5,4,140.5,7,0,0
1971,5.5,3,0,3.5,1.5,354.5,31.5,100,238.5,92,55.5,7
1972,6,18,14,45.5,129,167,41.5,10,53.5,8,28.5,0
1973,30.5,68.5,0,4,10,0,25,49,118.28,86,5,0
1974,6,0,21.5,0,36,104,4,,120,50,0,9.1
1975,55.5,8,8.3,19.5,63.65,,219.6,,97,18,0,27.5
1976,5,0.5,53,61,43.3,51,213,37.5,16.5,15.5,149.8,47.6
1977,26.8,34.3,4.5,32.5,13.5,5.5,0,36.5,34.5,17,0,19
1978,,0,2,,,,,,,,,5
1979,6,5.5,5,58.5,8,125,83,10,0,0,0,29.5
1980,0,0,4,2,221,0,8,66.5,36,14.5,39,19
1981,94.5,22,26,80,78.5,63.5,41,,34.1,28,0,0
1982,,,12,50.3,,,2.1,,,13,,84
1983,40.9,,29.5,0,39.5,18.4,25,,41.5,25,2.5,3.5
1984,146,,0,2,36.4,21,0,,,,,
1985,0,2.1,8,64.5,56.2,125,13.5,12,17,,,
1986,5,29,5,91.5,76.3,127,0,4.4,29.2,41.3,10.1,45.8
1987,10.8,42.5,12.5,43.7,63.3,91.2,71,161.5,42.7,12.5,5,6
1988,15.6,24.8,5,8.3,24.8,,64,206,142.2,40.1,0,5.5
1989,51.2,17.9,0,82.6,20,27.5,110.4,28.8,31.6,4.3,11.5,45.7
1990,25,,13.5,50.5,,,51.2,50.3,77.2,28.2,3.3,0
1991,16.4,10.1,6.7,9.1,39.8,102,25.7,10.9,172.6,3.6,0,47.3
1992,69.6,13.3,0,,42.9,50.5,16.8,55.5,31.7,45.5,31.5,15.6
1993,9.8,10.4,7.1,17.3,72.9,112.5,0,20.9,114.2,30.1,23.2,1.3
1994,64,2.5,34.9,12.9,19.3,22.4,40.8,110.4,59.3,48.4,16.6,29.1
1995,1.2,6.8,11.3,14,93,7.6,32.8,78,41.5,13.6,41.8,17.3
1996,1.9,0,13.2,10.2,79.9,11.9,23.1,113.8,7.8,87.2,16.1,2.8
1997,4.1,17.5,101,69.8,50.4,23.4,29,0,35.5,70.4,15.2,3.5
1998,0,25,26.5,0,0,16.1,4,81.8,166.5,50.6,31.7,2.7
1999,0,0,61.7,4.5,24.3,32.5,42.7,104,82.5,35,2.3,9.8
2000,9.4,18,1.9,16,111.6,21.5,11.2,10.9,74.5,185.6,21.4,3.7
2001,16.5,49.7,19.6,4.9,12.2,23,13.7,2.5,110.1,1.5,18.8,
2004,6.5,3.5,7.1,41.5,3.5,5,4.5,5,18,1.5,2.5,0
2005,6.5,12.5,0.5,0,14,0,12.5,,,,,
2006,0,1,1,0.5,0,,66,102,101,38,10,170
2007,,,,,,,,15,,,,
2008,,0,0,14.5,40.5,1,197.3,134.7,202.5,3,0,0
2009,0,60,0,0,166,0,80,12,71,22,40,270
2010,,91,28,220.5,,184,475.5,13,227.5,0,0,0
2011,20,0,1,0,37,103,92,19,1.5,3,0,46
2012,2.5,48.5,22,5.5,46.5,67,25,15.5,13.5,4,13.5,9.5
2013,25,0,6,21,34,7.5,77,9,411.5,38,57,49.2
2014,0,9,12,,,10.5,65,33,287,79,48,47
2015,132.5,21,72,211.5,143,7.5,5.5,0,49.5,39.5,11.5,0
2016,30,0,53,44,109,87.5,24.5,62,5.2,16,70.5,42
2017,13.5,40.5,91.51,28,68,72,19.5,16.5,308.5,55,13.5,69.8
2018,11,5,2.5,22,63,30,16.5,23.5,174,98.5,20,22
