Year,January,February,March,April,May,June,July,August,September,October,November,December
1942,16,18,0,16.5,53,16,142,0,95,69,0,0
1943,61.5,0,1,18,64,32,26,0,70,49,3,19
1944,8,40,0,13.5,70,103,8,289,135,15,5,8
1945,5,44.5,5,25,0,15,63,,,,,
1946,,,,,,,15,42,73,27,0,0
1947,2,0,5,4,28,120,0,72,0,0,0,0
1948,0,15,15,5,0,15,4,50,45,0,0,0
1949,0,10,0,41,53,0,10,20,65,,,
1950,0,0,0,0,30,0,0,20,0,0,0,0
1951,0,0,0,0,45,75,0,20,45,,0,0
1952,0,0,0,0,45,20,0,0,20,0,0,0
1953,0,0,38,20,0,0,10,106,0,0,0,0
1954,0,0,0,25,26,10,22,0,0,15,10,0
1955,0,0,,,45,0,80,52,157,0,18,0
1956,10,5,,10,0,5,14,0,33.5,0,10,0
1957,16,151,11.9,215,65,15,0,0,65,60,30,36
1958,62,19,14,21,43,42,41,11,296,82,0,0
1959,10,0,0,27,8,16,15,29.5,0,29.5,6,4
1960,6,8,0,21,5,10,24,53,51,5,15,5
1961,8,0,0,0,25,0,0,32,9,27,5,0
1962,0,1,0,9,0,18,,0,65,0,5,0
1963,0,10,0,0,5,22,22,0,33,20,10,10
1964,0,0,10,23,35,0,0,0,33,0,0,0
1965,0,0,18,10,65,25,65,38,185,65,0,70
1966,26,45,15,35,90,195,0,0,90,0,10,0
1967,0,0,35,35,0,25,20,290,365,0,25,0
1968,0,0,0,25,5,35,50,43,86,59,0,0
1969,0,10,0,16,8.1,45,0,67.5,75,36,55,0
1970,20,0,0,10,24,25,46.5,45,140.5,0,0,0
1971,5.5,3,0,3.5,1.5,354.5,31.5,100,238.5,92,55.5,7
1972,6,18,14,45.5,129,167,41.5,10,53.5,8,28.5,6.5
1973,30.5,68.5,0,12,10,209,30,17.5,125.3,86,0,0
1974,2.4,0,3.2,10,8.2,5,4,3,60.1,50,6.4,11.6
1975,22.5,1.5,0,0,170,17,110,57,97,18,0,0
1976,5,0,53,10.1,1.3,40,181,20,0,40,149.8,5
1977,0,0,0,0,0,0,0,0,70.6,0,0,0
1978,0,0,0,0,0,60,0,0,141,0,0,0
1979,0,5.5,0,0,0,0,0,0,2.3,0,0,0
1980,0.1,,0,0,110.6,0,0,0,40.3,0,0,5.3
1981,0,15.4,0,100.6,0,0,10.3,0,0,0,0,0
1982,0,5.3,0,10.5,,10.3,0,0,30.7,0,0,56.3
1983,0,0,0,0,40.4,0,0,40.5,0,0,0,0
1984,0,0,0,0,120.6,0,0,0,15,0,0,0
1985,0,10.3,0,60.4,0,100,0,30.6,0,0,0,0
1986,0,0,0,0,76.3,0,0,0,0,0,0,0
1987,0,0,0,0,63.3,91.2,0,0,40.8,26.1,0,0
1988,0,0,0,0,0,0,0,,,,,
