Year,January,February,March,April,May,June,July,August,September,October,November,December
1961,,,,,,,,,,,15,32.5
1962,15,0,0,,,,,,,,,
1964,,,,,,,,6,11.5,,,
1965,,,4.5,2,22,26.5,,,0,0,0,0
1966,,,,62.5,,,,,,,,
1967,0,,0,,,,0,235,845.5,,,
1968,,,,,,,,,,,18,0
1969,0,1.1,12,0,52,41,0,77,262,87,41,1
1970,0,21,7.8,6,7,88,104,97,209.5,10,7,0
1971,7,0,0,3.5,20,102,30,81,155,87,0,2.5
1972,0,21.5,28,20,,,,,,,,
1979,,,11,23,0,73.4,8,,,,,
1980,4,14,,49,167,5,69,129,89,101,59.5,14
1981,107,12,34,50,75.2,225.4,45.5,,92.7,47.7,,12.5
1982,6.5,54.2,78.4,98.3,86.7,43.9,0,0,85.2,84.7,7.8,58
1983,24.8,38.4,83,0,148.3,22.3,100.8,134.8,110,9.9,40.8,
1984,146,0,,,132.7,45.8,36.8,,,,,
1985,27.5,51.8,23,126.2,51,77.1,36,18,45,49,2,51.5
1986,7,29.4,1,36.8,94,,,,,,,
1997,,,,,,63.5,31,,,,,
1998,5.5,0.5,17,0,0,4,1,69,199.5,26.5,71,
1999,0,0,5,3,112.5,74.5,131,3.5,89.5,37,1,
