Year,January,February,March,April,May,June,July,August,September,October,November,December
1979,,,,70.2,5,22,19.3,84.1,119.1,0,3.3,38.3
1980,4.4,12.2,,0,55.1,17.2,20,133.7,,35,60,1
1981,71.7,10.7,22,163.8,30.5,199.4,75.3,79.2,87,87.9,0,1
1982,0,6.5,0,41.3,77,15,49,62,206,3.5,29,50
1983,52.5,36,3,0,47,20,32.5,66.5,68.5,20,1,3
1984,120.5,0,,,127,57,70,,,,,
1985,45,11.5,1.5,80,14,82,18,9,64.5,26,21,0
1986,0,0,0,5,63,272.5,4,11.5,41,42.5,60,75
1987,10.5,26,18,125,86,39,65.5,173,82,23.5,5,1
1988,7,11,4,20,14,27.5,187,104,375.5,24,0,2.5
1989,12.5,13,1,18.5,0,43,30.5,67.5,44.5,2,20,63
1990,22,9,13,11,11.5,10.5,82.5,72,113,12.2,2.5,0
1991,16.5,7,8,4,52,77,10,14,153.3,6,10,32
1992,59,15.5,6,36.5,118.5,52.5,55,36,89,20,34,23
1993,12.5,17,6,12.6,52.5,125,32,71,126.5,5,10,1.5
1994,66,0,23,2,19.5,45,21.5,33.5,90,31,26.5,20
1995,9,9.9,8.5,3,99,8.7,39.6,69,7.3,8,26,17
1996,6,1,0,23.5,40,59.5,4,249,34,100,12,1
1997,2.5,8.5,71,46.5,70,52.5,13.5,15,196,99.5,21,6
1998,0,20,22,0,0,54.5,18.5,141,176,12.4,16.5,2.5
1999,0,0,11,6.5,38,181,41,57,74.5,32,3,16
2000,3,12,8,19,49,88,6,51,150,123,24,12
2001,12,33,22,18,7,29,19,15,248,10,57,4
2004,12.4,8.9,77,37.5,31,132.5,44.5,129,131,12,18.5,4
2005,17.5,27,3.5,0,44.7,0,295,22,,61.5,1,2.5
2006,1.5,0,0,0,,47.5,74.5,54,172,3.5,10.5,1.3
2008,2.5,1,4.5,7.5,19.5,,,75.6,208.4,30.6,0,0
2009,6.2,5.2,4,36.8,59.7,43.5,11,,15,42,34.5,
2010,,31.2,4.7,64.3,31.7,114.4,356,0,254,0,0,0
2011,26,0,22.4,0,3.5,52.4,16.5,9.5,15.2,0,0,7
2012,0,25.9,25,5.2,31.7,30.5,68.3,31.7,26.5,0,25,0
2013,24.9,0,2.3,6.9,43.1,30.7,67.4,19.9,336.2,27,22.6,44.4
2014,1.4,11,9.6,14.2,47.1,28.7,61.7,65.6,237,4.4,48.1,33.4
2015,22,29.1,60.3,50.7,96,77.3,1.2,60.7,59.7,90.4,19.3,2.2
2016,31.4,0,72,60.6,47.7,69.7,24.2,247.5,109.8,5.2,61.9,20.6
2017,16.5,6.5,65.1,69.5,63.7,27.3,3.6,106.5,352.5,84.5,1.5,49.5
2018,2.5,2.2,1.2,46,12,14,14.5,19.3,166.7,39.7,0,23
