Year,January,February,March,April,May,June,July,August,September,October,November,December
1981,,,,,,200.5,,166,132.9,30,0,20.6
1982,0,4,16.4,156.7,114,20.5,14,14,,71.5,12,55
1983,35.5,14,64.5,0,234.8,14.5,119.5,109.5,239,64,17,11.5
1984,147,10,,,178,113,55,,,,,
1985,46,32.5,4,170,54.5,181.9,8.5,59,28,117,25,33
1986,0,31.5,35.5,87.5,139,266.5,,,,,,
1998,0,13,29,22,0,15,0,24,163,68,28,6
1999,0,0,15,20,33,163,111,0,147,0,3,33
2000,8,3,6.5,0,40,2.5,2,11.3,116.7,245.6,34,31
2001,19,13,33,69,48,153,117,48,475,36.6,114,0
2002,0,1,0,13,10,16,225.4,0,106,66.5,19.5,0
2003,102,19,71,38,147,148,56,282,320.7,208,6.9,18.6
2004,7.6,7.7,87,100.5,61.5,35.5,78.7,220.3,307.2,4.3,0,0
2005,0,71.6,34.7,85,87.6,0,281.5,106.9,74,300.4,48.2,16.8
2006,8.5,10.3,14.1,37.1,127.5,19.7,103.8,67.5,,,,
2008,17.6,4.3,20.4,91,89.9,30.9,199.9,112.5,336.1,85,2.5,10.8
2009,33.2,8.3,35.4,74,38.5,36,18.5,102.7,149.7,88,23.5,
2010,27.3,44,4.5,263,87,51.5,156,19,343.8,0,0,0
2011,42.4,0,21.5,36.5,36,203.5,82,90,32.5,82.5,13,26
2012,6,88.5,23.5,128,24.7,63,0,130,,,89,0
2013,36.5,0,0,36,97,149.5,126,73.5,432.8,19.5,47,185.5
2014,4.9,7.5,17.5,7.5,98.5,25,5,73,360.2,66.5,72.65,61.3
2015,58.3,54.5,,,,163.9,5.6,61.3,120.5,201,,5
2016,59.5,0,54.5,154.5,150.5,27.8,8,197,120,114.5,73,15.7
2017,6,8.5,166.9,70,132.5,187,44,47,132.5,103,1.5,27
2018,36.5,26,0,181,69,178.5,41.5,11.5,460.5,157.5,22,10
